Name,Region,Date of Reporting ,Crop,Name of Pest/Disease,Severity of incidence,Source of Information,coordinates,s
Anukkur,Perambalur Tamil Nadu  ,22-01-2014   ,Cotton   ,   Mealy Bug   ,  Moderate ,GT Visit  ,"78.8778,11.2605",
Esanai,Perambalur Tamil Nadu  ,22-01-2014   ,Cotton   ,   Jassids ,  Mild ,GT Visit  ,"79.152,11.0137",
,Perambalur Tamil Nadu   ,22-01-2014   ,Cotton   ,   Mealy Bug   ,  Low to Moderate  ,Online report  ,"78.8778,11.2605",
Perali,Perambalur Tamil Nadu  ,22-01-2014   ,Cotton   ,   Mealy Bug   ,  Mild to moderate ,Online report  ,"78.9514,11.2315",
Kalpadi,Perambalur Tamil Nadu  ,22-01-2014   ,Cotton   ,   Mealy Bug   ,  Moderate to High ,Online report  ,"78.921,11.1939",
Perambalur,Perambalur Tamil Nadu  ,22-01-2014   ,Ridge gourd   ,  Leaf Minor  ,  Moderate ,Online report  ,"78.865,11.2379",
Palaiyam,Perambalur Tamil Nadu  ,23-01-2014   ,Cotton   ,   Red cotton Bug  ,  Mild ,Online report  ,"78.1361,10.7247",
Kattangudi,Virudhunagar Tamil Nadu    ,23-01-2014   ,Cotton   ,   Red cotton Bug  ,  Mild ,Online report  ,"77.896,9.48046",
Kariapatti,Virudhunagar Tamil Nadu    ,23-01-2014   ,Cotton   ,   Mealy Bug   ,  Moderate to High ,Online report  ,"77.896,9.48046",
Nuzveedu & Mailavaram, <brKrishna Andhra Pradesh ,21-01-2014   ,Mango   ,    Hoppers & Powdery Mildew    ,  Low to Moderate  ,IMD report  ,"80.794,16.5492",
,Kurnool Andhra Pradesh  ,21-02-2014   ,Black Gram   ,   Pod borer   ,  Low to Moderate  ,Online report  ,"78.0008,15.529",
Nandyal,Kurnool Andhra Pradesh ,21-02-2014   ,Brinjal    , Shoot and Fruit borer   ,  Low  ,Online report  ,"78.0008,15.529",
Adoni,Kurnool Andhra Pradesh ,21-02-2014   ,Chilli   ,   Midge & Powdery Mildew  ,  Low  ,Online report  ,"78.0008,15.529",
Ratangarh,Yamuna Nagar Haryana   ,01-02-2014   ,Wheat   ,    Stripe rust ,  Low  ,DWR Report  ,"77.3349,30.2541",
Dabkhera Upprla,brGurdaspur Punjab ,07-01-2014   ,Wheat   ,    Stripe rust ,  Low  ,DWR Report  ,"75.3719,32.0216",
Khurdbhan,Yamuna Nagar Haryana   ,09-01-2014   ,Wheat   ,    Stripe rust ,  Low  ,DWR report  ,"77.3349,30.2541",
Harsola,Kaithal Haryana    ,23-12-2013   ,Wheat   ,    Pink stem borer ,  Low  ,DWR report  ,"75.8111,22.5723",
Ratangarh,Yamuna Nagar Haryana   ,01-01-2014   ,Wheat   ,    Stripe rust ,  Low  ,DWR Report  ,"77.3349,30.2541",
Ropar,Rupnagar Punjab    ,01-01-2014   ,Wheat   ,    Stripe rust ,  Low  ,DWR Report  ,"80.3104,30.0653",
Jopul,Nasik Maharashtra  ,01-01-2014   ,Wheat   ,    Stripe leaf rust    ,  Mild ,DWR report  ,"74.0744,20.2613",
,Nasik Maharashtra   ,01-01-2014   ,Wheat   ,    Foliar Aphids   ,  Mild ,DWR report  ,"74.0744,20.2613",
,Dharwad Karnataka   ,18-12-2013   ,Wheat   ,    Leaf rust & Shoot fly   ,  Low to Moderate  ,DWR report  ,"75.1563,15.3865",
,Kanpur Dehat Uttar Pradesh  ,06-01-2014   ,Wheat   ,    Termite ,  Low to Moderate  ,DWR report  ,"79.9538,26.428",
,Faizabad Uttar Pradesh  ,06-01-2014   ,Wheat   ,    Root rot  & Blight  ,  Low  ,DWR report  ,"82.0705,26.6347",
,Hassan Karnataka    ,16-02-2014   ,Watermelon   ,   Bacterial wilt  ,  Low  ,Online report  ,"76.1049,12.9896",
Ongole,Prakasam Andhra Pradesh    ,13-02-2014   ,Bengal gram   ,  Caterpillar ,  Low  ,Online report  ,"79.5099,15.6113",
Brahmadesam,Perambalur Tamil Nadu  ,22-01-2014   ,Cotton   ,   Mealy Bug   ,  Low to Moderate  ,Online report  ,"77.4462,8.7332",
Vengalam,Perambalur Tamil Nadu  ,22-01-2014   ,Cotton   ,   Green fly   ,  Mild ,Team visit  ,"78.7777,11.3739",
,Raipur Chhattisgarh ,10-03-2014   ,Bengal gram   ,  Pod borer   ,  Low to Moderate  ,Online report  ,"82.1683,21.0687",
,Bilaspur Chhattisgarh   ,10-03-2014   ,Cauliflower   ,  Fruit Borer & white fly ,  Low to Moderate  ,Online report  ,"81.9559,22.3451",
Ambajipeta,East Godavari Andhra Pradesh   ,12-03-2014   ,Coconut   ,  Black headed caterpillar    ,  Mild to moderate ,"Newspaper,Magazine,Report  ","82.0058,17.1784",
Waghadi,Dhule Maharashtra  ,01-01-2014   ,Wheat   ,    Aphid   ,  Severe   ,DWR report  ,"76.2168,19.6715",
Akurdi,Pune Maharashtra   ,29-12-2013   ,Wheat   ,    Aphid   ,  Low  ,DWR report  ,"73.688,18.761",
NG Padu,brPrakasam Andhra Pradesh  ,20-02-2014   ,Beans   ,    Aphid   ,  Low to Moderate  ,Field visit  ,"79.5099,15.6113",
Veppanthattai,Perambalur Tamil Nadu  ,22-01-2014   ,Cotton   ,   Boll worm   ,  Low to Moderate  ,NRSC-CICR team visit  ,"78.822,11.3397",
Satuur,Virudhunagar Tamil Nadu    ,23-01-2014   ,Cotton   ,   Wilt    ,  Low to Moderate  ,Online report  ,"77.896,9.48046",
,Guntur Andhra Pradesh   ,10-03-2014   ,Tobacco   ,  Caterpillar ,  Low  ,"Newspaper,Magazine,Report  ","80.0816,16.2912",
,Thiruvananthapuram Kerala   ,25-03-2014   ,Coconut   ,  Red palm weevil ,  Mild ,Online report  ,"77.0116,8.60229",
,Palakkad Kerala ,26-03-2014   ,Coffee   ,   White stem borer    ,  Mild ,Online report  ,"76.5544,10.7893",
,Malappuram Kerala   ,25-03-2014   ,Banana   ,   Sigatoka    ,  Mild ,Online report  ,"76.1547,11.1329",
,Jammu Jammu Kashmir ,25-03-2014   ,Wheat   ,    Yellow leaf disease     ,  Moderate ,Online report  ,"74.8353,32.7403",
Sethiathoppu,Cuddalore Tamil Nadu   ,28-03-2014   ,Maize   ,    Pink stem borer ,  Moderate ,reports from local farmers  ,"79.5427,11.4365",
Sethiathoppu,Cuddalore Tamil Nadu   ,28-03-2014   ,Chilli   ,   Thrips and Aphids   ,  High ,reports from local farmers  ,"79.5427,11.4365",
sindhanur,Raichur Karnataka  ,17-04-2014   ,Potato   ,   Cotton Aphids   ,  Low to Moderate  ,Online report  ,"76.8906,16.0869",
Koduvalli,Kozhikode Kerala   ,09-05-2014   ,nutmeg   ,"   witting tree , shrinking nuts   ",  Mild ,from field   ,"75.9116,11.3581",
Ormanjhi,Ranchi Jharkhand   ,11-09-2013   ,Paddy   ,    Pink stem borer ,  High ,"Newspaper,Magazine,Report  ","85.4818,23.4913",
,Hassan Karnataka    ,06-09-2014   ,Paddy   ,    Sheath and lwaf blights ,  Moderate ,Online report  ,"76.1049,12.9896",
,Dharwad Karnataka   ,07-09-2014   ,Paddy   ,    Sheath and lwaf blights ,  Moderate ,Online report  ,"75.1563,15.3865",
,Kolar Karnataka ,30-03-2014   ,Cucurbita   ,    Yellow vein mosaic  ,  Mild ,Online report  ,"78.0163,13.365",
,Kolar Karnataka ,13-08-2014   ,Cucurbita   ,    Yellow leaf disease     ,  Mild ,Online report  ,"78.0163,13.365",
,Coimbatore Tamil Nadu   ,07-09-2014   ,Cotton   ,   White fly   ,  Mild ,Online report  ,"77.0763,10.8432",
,Dakshin Kannada Karnataka   ,15-04-2014   ,Coconut   ,  Red palm weevil ,  Low  ,Online report  ,"75.2675,12.8352",
,Durg Chhattisgarh   ,10-03-2014   ,Vegetables   ,   Aphids and Leaf curl    ,  Low to Moderate  ,Online report  ,"81.3467,21.1894",
,Bareilly Uttar Pradesh  ,08-11-2013   ,Paddy   ,    Army worm   ,  Low  ,Online report  ,"79.4108,28.4543",
,Yavatmal Maharashtra    ,24-10-2013   ,Cotton   ,   Boll worm   ,  Moderate ,ICAR-CRIDA  ,"78.1578,20.0841",
Prathipadu,Guntur Andhra Pradesh  ,29-11-2013   ,Cotton   ,   Boll worm   ,  Low  ,Online report  ,"80.0816,16.2912",
,Nalgonda Andhra Pradesh ,24-03-2014   ,Paddy   ,    Brown spot  ,  Low  ,"Newspaper,Magazine,Report  ","79.2815,17.0619",
,Raisen Madhya Pradesh   ,29-09-2014   ,Chilli   ,   Thrips  ,  Moderate to High ,Online report  ,"78.1134,23.2207",
,Hassan Karnataka    ,01-07-2014   ,cardamom   , Root grub   ,  Low to Moderate  ,Online report  ,"76.1049,12.9896",
,Shahjahanpur Uttar Pradesh  ,08-10-2014   ,Paddy   ,    Gundhi bug and leaf folder  ,  Low to Moderate  ,Online report  ,"79.8343,27.9817",
,Haora West Bengal   ,30-09-2014   ,Paddy   ,    BPH and leaf folder ,  Low  ,Online report  ,"88.0648,22.5239",
Tora,Baragarh Orissa    ,12-10-2014   ,Paddy   ,    Brown Plant Hopper  ,  High ,Online report  ,"86.2747,20.8849",
Lahanda,Baragarh Orissa    ,12-10-2014   ,Paddy   ,    BPH and leaf folder ,  Low  ,"Newspaper,Magazine,Report  ","83.8514,21.4496",
Avalchinnampalayam,Coimbatore Tamil Nadu  ,18-08-2014   ,Coconut   ,  Rhinocerous beetle  ,  Low  ,survey  ,"77.0144,10.6132",
BORSAD,Anand Gujarat  ,01-09-2014   ,Bajra   ,    Black bug   ,  Low  ,"Newspaper,Magazine,Report  ","72.9,22.409",
,Kalahandi Orissa    ,14-10-2014   ,Paddy   ,    Brown Plant Hopper  ,  Mild to moderate ,"Agril dept, Odisha   ","83.1021,19.8617",
,Karimnagar Andhra Pradesh   ,29-10-2014   ,Cotton   ,   Cercospora Leaf spot    ,  Mild to moderate ,DD-Agril  ,"79.2383,18.5468",
,Karimnagar Andhra Pradesh   ,29-10-2014   ,Paddy   ,    Rice Blast  ,  Mild ,Agril Govt of Telangana  ,"79.2383,18.5468",
,Adilabad Andhra Pradesh ,29-10-2014   ,Red gram   , Caterpillar ,  Moderate ,Agril Govt of Telangana  ,"78.9714,19.2545",
,Khammam Andhra Pradesh  ,29-10-2014   ,Cotton   ,   Cercospora Leaf spot    ,  Severe   ,Agril Govt of Telangana  ,"80.681,17.5929",
,Khammam Andhra Pradesh  ,29-10-2014   ,Tomato   ,   Brown spot  ,  Low  ,DD report  ,"80.681,17.5929",
,Bellary Karnataka   ,02-11-2014   ,Castor   ,   Sap sucking pest    ,  Low  ,"Newspaper,Magazine,Report  ","76.5314,15.1073",
,Bidar Karnataka ,03-11-2014   ,Safflower   ,    Caterpillar ,  Low to Moderate  ,"Newspaper,Magazine,Report  ","77.2241,17.9501",
,Chamrajnagar Karnataka  ,03-11-2014   ,Sugarcane   ,    Root grub   ,  Low  ,"Newspaper,Magazine,Report  ","77.0984,11.9558",
,Kanniyakumari Tamil Nadu    ,28-10-2014   ,Coconut   ,  Rhinocerous beetle  ,  Mild ,"Newspaper,Magazine,Report  ","77.3501,8.30016",
,Ramanathapuram Tamil Nadu   ,28-10-2014   ,Coconut   ,  Red palm weevil ,  Mild ,"Newspaper,Magazine,Report  ","78.6804,9.44259",
,Dharmapuri Tamil Nadu   ,28-10-2014   ,Brinjal    , Shoot and Fruit borer   ,  Low  ,"Newspaper,Magazine,Report  ","78.1869,12.0922",
,Coimbatore Tamil Nadu   ,28-10-2014   ,Cotton   ,   Sap sucking pest    ,  Low to Moderate  ,"Newspaper,Magazine,Report  ","77.0763,10.8432",
,Wardha Maharashtra  ,28-10-2014   ,Cotton   ,   Sap sucking pest    ,  Mild ,"Newspaper,Magazine,Report  ","78.5827,20.7963",
,Garhchiroli Maharashtra ,28-10-2014   ,Castor   ,   Snake gourd semilooper  ,  Low  ,"Newspaper,Magazine,Report  ","80.2413,19.7888",
,Barpeta Assam   ,28-10-2014   ,Paddy   ,    Gundhi bug and leaf folder  ,  Low  ,"Newspaper,Magazine,Report  ","91.0259,26.4396",
,Dumka Jharkhand ,28-10-2014   ,Green gram   ,   Pod borer   ,  Low  ,"Newspaper,Magazine,Report  ","87.2613,24.3192",
Challapalli,Krishna Andhra Pradesh ,27-10-2014   ,Sugarcane   ,    Red Rot & Scale insect  ,  Mild ,"Newspaper,Magazine,Report  ","80.794,16.5492",
,Moradabad Uttar Pradesh ,15-10-2014   ,Sugarcane   ,    Scale insects   ,  Low  ,"Newspaper,Magazine,Report  ","78.7022,28.7613",
gonagandla,Kurnool Andhra Pradesh ,01-11-2014   ,Onion   ,    Caterpillar ,  Low  ,"Newspaper,Magazine,Report  ","78.0008,15.529",
"Anukonda, Makthal", <brMahbubnagar Andhra Pradesh ,01-11-2014   ,Cotton   ,   Sap sucking pest    ,  Low to Moderate  ,"Newspaper,Magazine,Report  ","78.1421,16.4935",
Narasarao pet,brGuntur Andhra Pradesh    ,01-11-2014   ,Sesames   ,  White backed plant  ,  Low to Moderate  ,"Newspaper,Magazine,Report  ","80.0816,16.2912",
,Karimnagar Andhra Pradesh   ,01-11-2014   ,Mango   ,    Termite and whorl maggot    ,  Mild ,"Newspaper,Magazine,Report  ","79.2383,18.5468",
,East Godavari Andhra Pradesh    ,07-11-2014   ,Paddy   ,    BPH and leaf folder ,  Mild ,Online report  ,"82.0058,17.1784",
,West Godavari Andhra Pradesh    ,07-11-2014   ,Paddy   ,    Stem borer and leaf folder  ,  Mild to moderate ,Online report  ,"81.3923,16.8868",
,Nizamabad Andhra Pradesh    ,07-11-2014   ,Turmeric   , Top Shoot Borer ,  Low to Moderate  ,Online report  ,"78.1398,18.5238",
,Kurnool Andhra Pradesh  ,07-11-2014   ,Safflower   ,    false smut & necrosis   ,  Moderate ,Online report  ,"78.0008,15.529",
,Nizamabad Andhra Pradesh    ,28-10-2014   ,Maize   ,    Top Shoot Borer ,  Mild ,Online report  ,"78.1398,18.5238",
,Kurnool Andhra Pradesh  ,29-10-2014   ,Bengal gram   ,  Root Rot    ,  Low to Moderate  ,"Newspaper,Magazine,Report  ","78.0008,15.529",
,Bidar Karnataka ,08-11-2014   ,Black Gram   ,   Caterpillar ,  Mild ,"Newspaper,Magazine,Report  ","77.2241,17.9501",
,Khammam Andhra Pradesh  ,10-11-2014   ,Groundnut   ,    Cercospora Leaf spot    ,  Low to Moderate  ,"Newspaper,Magazine,Report  ","80.681,17.5929",
Tenali,Guntur Andhra Pradesh  ,10-11-2014   ,Brinjal    , Sap sucking pest    ,  Mild to moderate ,Annadata  ,"80.0816,16.2912",
,Bangalore Rural Karnataka   ,10-11-2014   ,Tomato   ,   Fruit borer ,  Low to Moderate  ,Online report  ,"77.4231,12.8852",
Markapuram,Prakasam Andhra Pradesh    ,10-11-2014   ,Pumpkin   ,  Pink color fruit borer  ,  Mild to moderate ,"Newspaper,Magazine,Report  ","79.5099,15.6113",
,Khammam Andhra Pradesh  ,12-11-2014   ,Green gram   ,   spodoptera caterpillar  ,  Mild ,Online report  ,"80.681,17.5929",
Thungaturthi,Nalgonda Andhra Pradesh    ,12-11-2014   ,Black Gram   ,   Heliothis caterpillar   ,  Low to Moderate  ,Online report  ,"79.2815,17.0619",
Mahabubabad,Warangal Andhra Pradesh    ,12-11-2014   ,Red gram   , Leaf folder and stem borer  ,  Mild to moderate ,Online report  ,"79.7917,17.95",
Macherla,Guntur Andhra Pradesh  ,11-11-2014   ,Chilli   ,   Sap sucking pest    ,  Mild to moderate ,Online report  ,"80.0816,16.2912",
kanchikacherla,Krishna Andhra Pradesh ,12-11-2014   ,Cotton   ,   White fly   ,  Mild ,Online report  ,"80.794,16.5492",
Peddanandi padu,brGuntur Andhra Pradesh    ,11-11-2014   ,Cotton   ,   White fly   ,  Mild to moderate ,Online report  ,"80.0816,16.2912",
chalichennapalli,Chittoor Andhra Pradesh    ,11-11-2014   ,Mango   ,    Tobacco caterpillar ,  Mild ,Online report  ,"79.009,13.4616",
Chebrolu,Guntur Andhra Pradesh  ,11-11-2014   ,Mulberry   , Caterpillar ,  Low  ,Online report  ,"80.0816,16.2912",
Miryalaguda,Nalgonda Andhra Pradesh    ,10-11-2014   ,Paddy   ,    Rice Blast  ,  Low  ,"Newspaper,Magazine,Report  ","79.2815,17.0619",
Gopalrao peta,brKarimnagar Andhra Pradesh    ,13-11-2014   ,Banana   ,   Sigotika    ,  Moderate to High ,Online report  ,"79.2383,18.5468",
,Warangal Andhra Pradesh ,13-11-2014   ,Chilli   ,   Cercospora Leaf spot    ,  Low to Moderate  ,Online report  ,"79.7917,17.95",
Sattenapalli,Guntur Andhra Pradesh  ,13-11-2014   ,Chilli   ,   Koinophora dry diseases ,  Low to Moderate  ,Online report  ,"80.0816,16.2912",
Gangavathi,Bellary Karnataka  ,14-11-2014   ,Chilli   ,   Powdery mildew  ,  Mild ,"Newspaper,Magazine,Report  ","76.5314,15.1073",
,Gulbarga Karnataka  ,14-11-2014   ,Chilli   ,   Root grub   ,  Low to Moderate  ,Online report  ,"76.8818,17.0526",
,Amravati Maharashtra    ,13-11-2014   ,Cotton   ,   Sap sucking pest    ,  Low to Moderate  ,Online report  ,"77.5694,21.1896",
,Akola Maharashtra   ,13-11-2014   ,Castor   ,   semilooper  ,  Mild ,Online report  ,"77.0446,20.7503",
,Allahabad Uttar Pradesh ,13-11-2014   ,Red gram   , Leaf folder ,  Low to Moderate  ,Online report  ,"81.9656,25.301",
,Barddhaman West Bengal  ,13-11-2014   ,Paddy   ,    BPH and leaf folder ,  Low  ,Online report  ,"87.7633,23.4256",
,Raichur Karnataka   ,13-11-2014   ,Sunflower   ,    leaf eating caterpillars    ,  Low  ,Online report  ,"76.8906,16.0869",
,Bidar Karnataka ,13-11-2014   ,Red gram   , Pod borer   ,  Low  ,Online report  ,"77.2241,17.9501",
,Virudhunagar Tamil Nadu ,13-11-2014   ,Cotton   ,   Sap sucking pest    ,  Mild ,"Newspaper,Magazine,Report  ","77.896,9.48046",
,Pudukkottai Tamil Nadu  ,13-11-2014   ,Tomato   ,   Shoot and Fruit borer   ,  Low to Moderate  ,"Newspaper,Magazine,Report  ","78.8665,10.3422",
,Ramanathapuram Tamil Nadu   ,13-10-2014   ,Coconut   ,"  Rhinocerous beetle, Red palm weevil and Erophyid mite   ",  Low to Moderate  ,Online report  ,"78.6804,9.44259",
,Coimbatore Tamil Nadu   ,14-10-2014   ,Coconut   ,"  Rhinocerous beetle, Red palm weevil and Erophyid mite   ",  Low to Moderate  ,Online report  ,"77.0763,10.8432",
,Kollam Kerala   ,14-10-2014   ,Banana   ,   sigatoka    ,  Low to Moderate  ,"Newspaper,Magazine,Report  ","76.8738,8.95293",
,Thrissur Kerala ,14-10-2014   ,Paddy   ,    Leaf folder ,  Low to Moderate  ,"Newspaper,Magazine,Report  ","76.314,10.4644",
,Kottayam Kerala ,13-10-2014   ,Rubber   ,   Fungal disease  ,  Low  ,"Newspaper,Magazine,Report  ","76.6453,9.63054",
,Kasaragod Kerala    ,14-10-2014   ,Cashew Nut   ,   Tea Mosquite    ,  Low to Moderate  ,"Newspaper,Magazine,Report  ","75.1518,12.4638",
,Kollam Kerala   ,14-10-2014   ,Coconut   ,  stem bleeding   ,  Low to Moderate  ,"Newspaper,Magazine,Report  ","76.8738,8.95293",
,Haora West Bengal   ,27-11-2014   ,Chilli   ,   Leaf curl virus ,  Low  ,Online report  ,"88.0648,22.5239",
,Meerut Uttar Pradesh    ,27-11-2014   ,Red gram   , Leaf folder ,  Low  ,Online report  ,"77.7836,29.0416",
,Ambedkar Nagar Uttar Pradesh    ,27-11-2014   ,Maize   ,    Cut worms and caterpillars  ,  Low to Moderate  ,Online report  ,"82.6598,26.4237",
,Cuddalore Tamil Nadu    ,27-11-2014   ,Coconut   ,"  rhinoceros beetle, wilt & red palm weevil   ",  Low to Moderate  ,Online report  ,"79.4435,11.5239",
,Perambalur Tamil Nadu   ,27-11-2014   ,Cotton   ,   Sap sucking pest    ,  Low to Moderate  ,Online report  ,"78.8778,11.2605",
,Raichur Karnataka   ,01-12-2014   ,Cotton   ,   Sap sucking pest    ,  Low to Moderate  ,Online report  ,"76.8906,16.0869",
,Bidar Karnataka ,01-12-2014   ,Sunflower   ,    Caterpillar ,  Low  ,Online report  ,"77.2241,17.9501",
,Gulbarga Karnataka  ,01-12-2014   ,Red gram   , Pod borer   ,  Low to Moderate  ,"Newspaper,Magazine,Report  ","76.8818,17.0526",
,Hoshangabad Madhya Pradesh  ,01-12-2014   ,Tomato   ,   Rhizoctonia  Fruit Rot  ,  Low to Moderate  ,Farm Nest News  ,"77.9844,22.5913",
,Cuttack Orissa  ,24-12-2014   ,Paddy   ,    Stem Borer  ,  Low  ,Online report  ,"85.6985,20.4436",
,Ganjam Orissa   ,24-12-2014   ,Brinjal    , Shoot and Fruit borer   ,  Mild ,Online report  ,"84.6591,19.6217",
,Chhindwara Madhya Pradesh   ,24-12-2014   ,Red gram   , Pod borer   ,  Low to Moderate  ,Online report  ,"78.8503,22.123",
,Hoshangabad Madhya Pradesh  ,24-12-2014   ,Bengal gram   ,  Heliothis caterpillar   ,  Low  ,Online report  ,"77.9844,22.5913",
,Indore Madhya Pradesh   ,24-12-2014   ,Jowar   ,    Rust    ,  Low to Moderate  ,Online report  ,"75.7814,22.7163",
,Pali Rajasthan  ,16-01-2015   ,Wheat   ,    Leaf blight ,  Low to Moderate  ,Online report  ,"73.521,25.7087",
,Khammam Andhra Pradesh  ,25-01-2015   ,Green gram   ,   Caterpillar ,  Low  ,"Newspaper,Magazine,Report  ","80.681,17.5929",
,Krishna Andhra Pradesh  ,26-01-2015   ,Black Gram   ,   Heliothis caterpillar   ,  Low  ,"Newspaper,Magazine,Report  ","80.794,16.5492",
Poduru,West Godavari Andhra Pradesh   ,11-02-2015   ,Coconut   ,  Black headed caterpillar    ,  Mild to moderate ,Field diagnostic visit  ,"81.7537,16.5884",
Ambajipeta,East Godavari Andhra Pradesh   ,16-12-2014   ,COCOA   ,    Bark eating caterpillar ,  Low to Moderate  ,Field diagnostic visit  ,"82.0058,17.1784",
,Shimla Himachal Pradesh ,20-03-2015   ,Walnut   ,   Husk Fly    ,  Moderate ,"Newspaper,Magazine,Report  ","77.6247,31.1979",
Bhatambare,Solapur Maharashtra    ,01-03-2015   ,Chilli   ,   Mite    ,  High ,Online report  ,"75.9164,18.1575",
Khirode Pr. Raver, Raver <brJalgaon Maharashtra  ,12-03-2015   ,Banana   ,   Black headed caterpillar    ,  High ,"Newspaper,Magazine,Report  ","76.0211,21.2636",
Kannikapuram,Chittoor Andhra Pradesh    ,01-03-2015   ,Sugarcane   ,    Mite    ,  Moderate to severe   ,"Newspaper,Magazine,Report  ","79.1798,13.0276",
Nelapogulu,West Godavari Andhra Pradesh   ,13-04-2015   ,Coconut   ,  Caterpillar ,  High ,Diagnostic visit  ,"81.6739,16.613",
Relangi,West Godavari Andhra Pradesh   ,13-04-2015   ,Coconut   ,  Caterpillar ,  High ,Diagnostic visit  ,"81.6667,16.7167",
Mamidipalle,West Godavari Andhra Pradesh   ,13-04-2015   ,Coconut   ,  Caterpillar ,  High ,Diagnostic visit  ,"81.7443,16.4816",
Dosakayapallli,East Godavari Andhra Pradesh   ,13-02-2015   ,Coconut   ,  Black headed caterpillar    ,  Moderate ,Diagnostic visit  ,"82.0058,17.1784",
,Bathinda Punjab ,12-08-2015   ,Cotton   ,   White fly   ,  High ,"Newspaper,Magazine,Report  ","75.0302,30.1859",
,Jalandhar Punjab    ,07-09-2015   ,Cotton   ,   White fly   ,  High ,"Newspaper,Magazine,Report  ","75.5537,31.2138",
Chinnamvarigudem,West Godavari Andhra Pradesh   ,02-08-2014   ,Paddy   ,    Hipsa   ,  Low  ,Online report  ,"81.1862,17.1326",
Eletipadu,West Godavari Andhra Pradesh   ,02-08-2014   ,Paddy   ,    Hipsa   ,  Low  ,Online report  ,"81.7402,16.6873",
Papanasam,Thanjavur Tamil Nadu   ,14-08-2014   ,Paddy   ,    Whorl maggot    ,  Mild ,Online report  ,"77.364,8.71532",
Tappe Sipah,brBahraich Uttar Pradesh   ,07-08-2014   ,Paddy   ,    Termite ,  Low  ,Online report  ,"81.4882,27.0951",
Sarubujjili,Srikakulam Andhra Pradesh  ,16-10-2014   ,Paddy   ,    Brown Plant Hopper  ,  Severe   ,Online report  ,"83.9819,18.5754",
Naopeta,Jorhat Assam   ,31-10-2014   ,Paddy   ,    Brown Plant Hopper  ,  Low  ,Online report  ,"94.2753,26.7934",
Jatam,Bastar Chhattisgarh    ,15-10-2014   ,Paddy   ,    Stem Borer  ,  Severe   ,Online report  ,"82.0237,19.0178",
Chinvri,Dhamtari Chhattisgarh  ,31-10-2014   ,Paddy   ,    Stem Borer  ,  Moderate ,Online report  ,"81.7545,20.9354",
Pattambi,Palakkad Kerala    ,12-08-2014   ,Paddy   ,    Brown Plant Hopper  ,  Moderate to severe   ,Online report  ,"76.1846,10.8005",
Pollipadi,Palakkad Kerala    ,16-09-2014   ,Paddy   ,    Leaf folder ,  Low to Moderate  ,Online report  ,"76.5031,10.9917",
Palasgaon,Bhandara Maharashtra   ,31-10-2014   ,Paddy   ,    Stem Borer  ,  Moderate to severe   ,Online report  ,"74.5466,17.5399",
Nedungadu,Karaikal Puducherry    ,31-10-2014   ,Paddy   ,    Leaf folder ,  Moderate ,Online report  ,"79.7965,10.9135",
Kil Maruttuvakkudi,brThanjavur Tamil Nadu ,29-10-2014   ,Paddy   ,    Leaf folder ,  Moderate ,Online report  ,"79.493,11.0062",
Alnabhari,Faizabad Uttar Pradesh ,25-10-2014   ,Paddy   ,    Stem borer and leaf folder  ,  Low to Moderate  ,Online report  ,"82.3328,26.6207",
,Hoshiarpur Punjab   ,09-10-2015   ,Kinnow   ,   Fruit flies ,  Mild to moderate ,Online report  ,"75.8489,31.63",
